C,Accuracy,Train Time,Test Time
0.01,0.825175,2.4518702999994275,7.697819000000891
0.02,0.84285,3.952773699998943,7.8314878000019235
0.03,0.8554,4.08803959999932,7.692830799998774
0.04,0.864975,4.31525419999889,7.629317800001445
0.06,0.878975,4.333218899999338,7.720669099999213
0.08,0.889675,4.6401113000029,7.795005300002231
0.1,0.896325,4.622985599999083,7.907271799998853
0.2,0.914025,5.163338400001521,7.59390639999765
0.4,0.927975,5.568672299999889,7.596033599998918
0.6,0.933575,5.839904500000557,7.796894600000087
0.8,0.937175,5.950372800001787,7.817696000001888
1.0,0.939175,6.110537200002,8.167281099998945
2.0,0.944325,6.810489899999084,7.7490871000009065
5.0,0.9485,7.801526800001739,7.707317500000499
10.0,0.949475,8.910704099998839,7.7137204999999085
20.0,0.9498,10.20818440000221,7.848137400000269
50.0,0.949725,13.501898000002257,5.109929700000066
75.0,0.9496,5.205746400002681,5.681773299998895
100.0,0.9494,10.518077900000208,6.760330900000554
