C,Accuracy,Train Time,Test Time
0.01,0.903975,1.0052031000013812,5.3389205999992555
0.02,0.91835,1.7857088999990083,7.771959599998809
0.03,0.92525,1.8878740000000107,7.625319500002661
0.04,0.929175,1.9462856999998621,7.95984529999987
0.06,0.93495,2.0627931999988505,7.581129800000781
0.08,0.937125,1.7807862000008754,7.845954799999163
0.1,0.939975,2.192554299999756,7.928493499999604
0.2,0.94395,2.5597133000010217,7.84428239999761
0.4,0.94635,3.1182229000005464,7.855394300000626
0.6,0.9472,3.6652326000003086,7.770025600002555
0.8,0.9475,4.002375399999437,7.879507900001045
1.0,0.947425,4.170723300001555,7.813262200001191
2.0,0.946725,3.9191611999995075,7.748980200001824
5.0,0.9447,3.649445499999274,7.731089600001724
10.0,0.9428,3.5809047000002465,7.894761199997447
20.0,0.9407,3.4818333000002895,8.039785000000848
50.0,0.93995,3.601522400000249,7.991540999999415
75.0,0.939175,3.426033899999311,7.816462399998272
100.0,0.93865,3.448136999999406,7.737937199999578
